KOR_NUM,year,month,KOR_NM,temperature,temp_max,temp_min
0,2022,6,강화,20.60504027,30.56640997,11.15827408
1,2022,6,거제,21.3949901,30.92317283,12.94110119
2,2022,6,거창,21.23579618,32.86022973,9.869149547
3,2022,6,고창,22.33216349,32.53872225,12.53311853
4,2022,6,고흥,21.33869587,31.00735576,11.35953134
5,2022,6,광주,22.87303286,32.75197361,14.28504127
6,2022,6,구미,22.71304928,33.70403341,12.2255093
7,2022,6,군산,21.70612721,30.86380017,14.07427906
8,2022,6,금산,21.7240358,32.73157096,9.812618605
9,2022,6,남원,22.25981395,32.99004295,10.96813948
10,2022,6,남해,21.82507529,31.34734213,13.9135814
11,2022,6,대구,23.3814174,34.635362,13.71369468
12,2022,6,대전,22.87009104,32.71972307,13.17490943
13,2022,6,동두천,21.891074,33.26327553,11.80330201
14,2022,6,동해,19.7410289,31.07542423,11.68542873
15,2022,6,목포,21.72667865,29.83422216,14.76724821
16,2022,6,문경,21.40897362,32.48451765,10.1111899
17,2022,6,밀양,22.51388686,33.75916126,12.09933259
18,2022,6,보령,21.19988082,30.43378464,12.02534136
19,2022,6,보은,21.22498019,32.04617084,9.451827016
20,2022,6,봉화,19.6942018,32.08452071,6.605574368
21,2022,6,부산,21.20484464,28.91110199,14.93663975
22,2022,6,부안,21.68047651,31.34673678,12.56431606
23,2022,6,부여,22.22455179,32.84477789,11.58444442
24,2022,6,산청,21.80005757,32.9492569,11.61607185
25,2022,6,상주,22.6161454,33.4144071,11.85361257
26,2022,6,서귀포,22.01802536,28.96616323,15.47369628
27,2022,6,서산,21.28938397,31.35406901,12.28617257
28,2022,6,서울,22.80263005,32.66101644,14.51090307
29,2022,6,속초,19.87279537,31.36947941,12.01100697
30,2022,6,수원,22.31672868,32.19284492,13.32303397
31,2022,6,안동,21.97543852,33.38690659,11.04112427
32,2022,6,양평,22.15462328,33.21126328,10.96929393
33,2022,6,여수,21.33742064,28.74021855,15.28454888
34,2022,6,영덕,20.60665285,33.44312672,10.55834602
35,2022,6,영월,21.40169459,33.72790416,9.568355184
36,2022,6,영주,21.42670322,32.86967548,10.24947054
37,2022,6,영천,21.81076759,33.96619668,10.36350483
38,2022,6,완도,21.29163919,29.99874577,13.79297564
39,2022,6,울릉도,19.26457606,28.12889698,12.57700758
40,2022,6,울산,21.73382157,32.26706112,13.14714644
41,2022,6,울진,19.59628302,31.56039992,11.26920023
42,2022,6,원주,22.47890131,32.93662606,12.07473101
43,2022,6,의성,21.74388175,34.09640803,8.623180643
44,2022,6,이천,21.95486932,32.8769115,11.06728583
45,2022,6,인제,20.50585623,32.82001795,8.668291432
46,2022,6,인천,21.35016654,30.36173377,14.26737822
47,2022,6,임실,20.93493351,31.82733046,9.232666936
48,2022,6,장수,20.28751946,30.5603062,8.688327022
49,2022,6,장흥,21.45580942,31.43923174,11.39448447
50,2022,6,전주,22.89547375,32.98795458,13.23083651
51,2022,6,정읍,22.37291848,32.68120892,12.27343368
52,2022,6,제주,21.90867858,30.93912198,15.16352131
53,2022,6,제천,20.90935351,32.66986721,9.023667476
54,2022,6,진도,18.95851409,28.54630794,11.95497362
55,2022,6,진주,21.98424005,32.34382154,11.37529843
56,2022,6,창원,21.97719541,31.55984193,14.79469743
57,2022,6,천안,21.92054177,32.11976393,11.17733431
58,2022,6,철원,21.27312949,31.93941254,10.77145561
59,2022,6,청주,23.10513628,32.9386789,13.67562454
60,2022,6,춘천,22.31076082,33.38173674,11.88484506
61,2022,6,태백,18.13540526,30.59490559,6.591248854
62,2022,6,통영,21.08848647,29.09856064,14.5469026
63,2022,6,포항,22.00892516,33.60540213,14.0112018
64,2022,6,합천,22.38636911,34.04920296,11.40899055
65,2022,6,해남,21.36792644,30.9290472,11.7588948
66,2022,6,홍천,21.64278902,33.71746201,9.637135134
0,2022,7,강화,23.71202147,32.65594723,13.80041887
1,2022,7,거제,25.05943131,33.60520528,18.38627936
2,2022,7,거창,24.34822301,34.65773461,15.90539317
3,2022,7,고창,26.06779423,34.35617831,19.24593323
4,2022,7,고흥,24.99980948,33.7433542,17.80565722
5,2022,7,광주,26.09514382,34.69120027,19.40782804
6,2022,7,구미,25.49181264,35.13657293,17.49123891
7,2022,7,군산,25.22989857,33.60190918,18.94792119
8,2022,7,금산,24.99456638,34.35305658,16.48786242
9,2022,7,남원,25.28391998,34.78723109,17.47199811
10,2022,7,남해,25.35863833,34.34395569,18.72600967
11,2022,7,대구,26.25496176,36.29602337,18.82679001
12,2022,7,대전,25.80373368,34.25721521,18.54301045
13,2022,7,동두천,24.42540435,33.78207772,17.51138292
14,2022,7,동해,23.45098523,33.85817474,16.7672241
15,2022,7,목포,25.33656081,32.97297488,19.5883822
16,2022,7,문경,24.1105761,33.87592922,16.00092224
17,2022,7,밀양,25.80628186,35.65981457,17.84949368
18,2022,7,보령,24.89102698,33.22127589,18.02201406
19,2022,7,보은,24.25023842,33.51035259,15.96296459
20,2022,7,봉화,22.90955939,33.03349755,13.33319163
21,2022,7,부산,24.65608851,32.3028342,18.98090879
22,2022,7,부안,25.39262706,34.39180755,18.49883802
23,2022,7,부여,25.2547802,34.56202644,17.96347912
24,2022,7,산청,24.80946911,35.08503571,17.12787794
25,2022,7,상주,25.00695541,34.69579094,17.78199302
26,2022,7,서귀포,25.98883935,32.78544223,20.13150847
27,2022,7,서산,24.52821046,33.39108333,17.58623369
28,2022,7,서울,25.54195462,34.04636568,18.95085911
29,2022,7,속초,23.47268253,33.88545341,16.51942917
30,2022,7,수원,25.4963685,33.95769964,15.18263778
31,2022,7,안동,24.94885385,34.49906907,16.86935711
32,2022,7,양평,25.05599532,34.59932103,17.3846967
33,2022,7,여수,24.74327327,32.29006719,19.556478
34,2022,7,영덕,24.09735523,35.26665996,16.12447036
35,2022,7,영월,24.13369319,34.60466955,16.00183248
36,2022,7,영주,24.19554206,34.01135779,15.55538086
37,2022,7,영천,25.05033553,35.80468445,16.77677335
38,2022,7,완도,24.91852261,32.79841645,18.96221562
39,2022,7,울릉도,22.84483944,31.16486685,16.9464091
40,2022,7,울산,25.39292175,35.11407008,18.31847479
41,2022,7,울진,23.29483368,34.28638574,16.20684762
42,2022,7,원주,25.25390254,34.4520194,17.18253512
43,2022,7,의성,24.89747305,35.46965333,15.79820416
44,2022,7,이천,24.91522967,34.33305504,17.02214532
45,2022,7,인제,23.46109105,33.84861912,15.18558754
46,2022,7,인천,24.60349341,32.73529628,18.84421477
47,2022,7,임실,24.35474042,33.83079475,16.23893387
48,2022,7,장수,23.51820082,32.27109132,14.9885603
49,2022,7,장흥,25.11746963,33.8696878,17.92794285
50,2022,7,전주,26.29049338,35.10809359,18.89006263
51,2022,7,정읍,25.73756704,35.04293685,18.29358904
52,2022,7,제주,26.38089476,34.96484881,20.20349273
53,2022,7,제천,23.77357158,33.53349779,15.25308574
54,2022,7,진도,22.18398906,31.24046287,17.06377139
55,2022,7,진주,25.4602977,34.8452495,17.99472025
56,2022,7,창원,25.51448576,34.41767902,19.45403112
57,2022,7,천안,25.16152679,33.91483707,17.30159421
58,2022,7,철원,23.99066624,33.05178667,16.22129597
59,2022,7,청주,26.03794593,34.66731653,18.61900272
60,2022,7,춘천,25.02571769,34.43385905,17.20599409
61,2022,7,태백,21.45863986,31.43324045,12.23782045
62,2022,7,통영,24.62925175,32.59650649,19.04928171
63,2022,7,포항,25.48522724,35.98497072,18.70175295
64,2022,7,합천,25.5318833,35.81959755,17.51633335
65,2022,7,해남,25.16752718,33.42507146,18.17578799
66,2022,7,홍천,24.58916028,35.0160767,16.05415709
0,2022,8,강화,24.85965393,33.75746067,16.08186236
1,2022,8,거제,26.12920656,34.23134966,18.61873779
2,2022,8,거창,24.4635846,34.83502523,15.04238273
3,2022,8,고창,26.09394768,35.70633025,16.36645866
4,2022,8,고흥,25.98613319,34.34511902,17.68909647
5,2022,8,광주,26.65260022,35.29175736,18.64545585
6,2022,8,구미,25.70084812,35.51494468,16.56559524
7,2022,8,군산,25.97403254,34.42880168,18.48185728
8,2022,8,금산,25.0556966,34.85626263,15.73623992
9,2022,8,남원,25.50069222,35.30451105,16.77333073
10,2022,8,남해,26.28567,34.84527466,18.87561279
11,2022,8,대구,26.77776566,36.37192831,18.24180613
12,2022,8,대전,26.23036207,34.9272967,17.28515221
13,2022,8,동두천,24.96444321,34.747026,15.33950343
14,2022,8,동해,24.16422298,33.52911126,16.34225151
15,2022,8,목포,26.5168361,34.13615656,19.54916354
16,2022,8,문경,24.17834733,34.54812867,15.11927635
17,2022,8,밀양,26.29681267,36.24117229,17.01794194
18,2022,8,보령,25.92054265,34.43859969,17.68397546
19,2022,8,보은,24.50984927,34.18594878,15.01880979
20,2022,8,봉화,23.0582669,33.81570848,12.53743666
21,2022,8,부산,26.36458238,33.81292449,19.77962833
22,2022,8,부안,26.06667741,35.18775641,17.61106024
23,2022,8,부여,25.80417841,35.47235148,16.93952977
24,2022,8,산청,25.16087348,35.42232541,16.32988363
25,2022,8,상주,25.36370014,35.28374609,16.05829603
26,2022,8,서귀포,27.40352504,33.32592955,21.28240415
27,2022,8,서산,25.34709375,34.40610198,17.02787611
28,2022,8,서울,26.28885719,35.0693293,17.93570725
29,2022,8,속초,24.30109903,33.90574357,16.51851893
30,2022,8,수원,26.18406761,35.07077384,14.23506848
31,2022,8,안동,25.25227395,35.3083148,15.81343844
32,2022,8,양평,25.31280941,35.29141546,16.19083187
33,2022,8,여수,26.23631903,32.94488036,20.15457374
34,2022,8,영덕,24.77100876,34.92703769,16.31198969
35,2022,8,영월,24.43409582,35.28346285,15.0135563
36,2022,8,영주,24.4176434,34.93367576,14.53386178
37,2022,8,영천,25.50526766,35.82153791,16.05639938
38,2022,8,완도,25.96824016,33.59766585,19.52866025
39,2022,8,울릉도,24.0968128,31.99594792,17.65912079
40,2022,8,울산,26.20160987,35.25652894,18.4510868
41,2022,8,울진,24.09607544,33.9695727,16.44957027
42,2022,8,원주,25.50794094,35.27153528,16.14933539
43,2022,8,의성,25.23506704,36.00344336,14.90396887
44,2022,8,이천,25.20646328,35.20111248,16.0152522
45,2022,8,인제,23.66481771,34.65762656,14.14875574
46,2022,8,인천,25.78371394,33.78651871,18.0045449
47,2022,8,임실,24.56427995,34.35187106,13.13871601
48,2022,8,장수,23.59145436,33.02920389,14.11683378
49,2022,8,장흥,25.69545597,34.42535906,17.21925988
50,2022,8,전주,26.5427482,35.67390179,18.00741622
51,2022,8,정읍,26.26189096,35.58418047,17.68127583
52,2022,8,제주,27.31047759,34.5054659,20.95951397
53,2022,8,제천,24.04860014,34.51542523,14.27811458
54,2022,8,진도,22.57226958,32.31910974,16.68196774
55,2022,8,진주,26.10747874,35.42956291,17.37717503
56,2022,8,창원,26.78474931,35.20306764,19.82005028
57,2022,8,천안,25.38808949,34.94953166,16.38728633
58,2022,8,철원,24.27833349,33.7284337,14.47964417
59,2022,8,청주,26.38094145,35.3545386,17.81039046
60,2022,8,춘천,25.15236303,35.12587356,15.88715289
61,2022,8,태백,21.45258289,31.87511276,11.817634
62,2022,8,통영,26.2521998,34.0526589,19.60511874
63,2022,8,포항,26.22558061,35.74427279,19.0061468
64,2022,8,합천,25.7824143,36.22826764,16.61420193
65,2022,8,해남,26.07263688,34.27861394,17.43441492
66,2022,8,홍천,24.77171547,35.73869592,14.87423888
0,2022,9,강화,20.32535733,30.10907398,9.571111078
1,2022,9,거제,22.05267666,31.07719838,13.35137567
2,2022,9,거창,19.54928688,31.24118621,7.307437208
3,2022,9,고창,21.42196807,31.00390337,11.87193135
4,2022,9,고흥,21.76703602,31.43915181,10.86516273
5,2022,9,광주,22.31083039,32.12353365,12.70849919
6,2022,9,구미,20.643794,31.6859772,9.588898455
7,2022,9,군산,21.63735946,31.15384187,12.64453834
8,2022,9,금산,19.87886999,31.55422362,7.669547531
9,2022,9,남원,20.82868898,31.99376927,8.345011998
10,2022,9,남해,21.96251902,31.50618379,13.66128423
11,2022,9,대구,22.07291472,32.73655877,12.25203052
12,2022,9,대전,21.34070347,31.37875791,10.87567857
13,2022,9,동두천,20.10258987,30.75425407,8.997909258
14,2022,9,동해,19.97750528,30.32543439,11.33409176
15,2022,9,목포,22.44612393,31.13467656,14.35702257
16,2022,9,문경,19.40915201,30.63373204,7.821307099
17,2022,9,밀양,21.65838581,32.67242919,10.17880354
18,2022,9,보령,21.35357808,30.90430649,11.53835827
19,2022,9,보은,19.21153067,30.62540078,7.226662861
20,2022,9,봉화,17.80381045,30.15381624,5.179866817
21,2022,9,부산,22.70647357,30.83521723,15.99618753
22,2022,9,부안,21.11497103,31.83000493,10.60627633
23,2022,9,부여,20.86631486,32.00430139,9.42101806
24,2022,9,산청,20.48476378,31.98252673,9.408282132
25,2022,9,상주,20.19949848,31.16931681,9.304102796
26,2022,9,서귀포,24.25084301,31.0907957,17.51492877
27,2022,9,서산,20.78080885,30.98913473,10.22375004
28,2022,9,서울,21.7638383,31.13919371,12.21831324
29,2022,9,속초,20.1968069,30.02951625,12.05872415
30,2022,9,수원,21.49440434,31.22277721,11.11242178
31,2022,9,안동,20.16293036,31.31921356,9.363455515
32,2022,9,양평,20.1163917,31.48730709,9.101845795
33,2022,9,여수,22.73105073,30.06041845,16.24001727
34,2022,9,영덕,20.05159157,31.44915555,10.86336446
35,2022,9,영월,19.32006732,31.07258637,8.618151919
36,2022,9,영주,19.39314549,31.02450079,7.452179805
37,2022,9,영천,20.46324798,32.0606118,8.690230381
38,2022,9,완도,22.40447613,30.72525311,14.57705589
39,2022,9,울릉도,20.19071827,28.42439566,14.27463644
40,2022,9,울산,21.82437236,31.81940621,13.19331844
41,2022,9,울진,20.06477526,30.20919865,11.3146174
42,2022,9,원주,20.23772087,31.23313912,9.268157326
43,2022,9,의성,19.92787734,32.18851574,7.205016964
44,2022,9,이천,20.0182748,31.22243383,8.502731772
45,2022,9,인제,18.51550094,30.3730666,8.186185137
46,2022,9,인천,21.65820391,30.31035344,12.78727693
47,2022,9,임실,19.62169735,31.01490704,7.016014613
48,2022,9,장수,18.4778581,29.73357651,5.930436995
49,2022,9,장흥,21.36727013,31.53487774,9.901968427
50,2022,9,전주,21.99520257,32.40010087,11.2345446
51,2022,9,정읍,21.5414061,32.23826948,10.8248059
52,2022,9,제주,23.50055839,31.34010463,16.93251576
53,2022,9,제천,18.5287027,30.74590737,6.419458136
54,2022,9,진도,19.79978538,29.42645399,12.55102668
55,2022,9,진주,21.50374703,32.05792105,10.09720332
56,2022,9,창원,22.81191832,31.8018216,14.8245399
57,2022,9,천안,20.3467786,31.16678945,8.841275079
58,2022,9,철원,18.96152759,30.05888807,6.531082881
59,2022,9,청주,21.43171471,31.71028425,10.92292657
60,2022,9,춘천,19.76622548,30.96362735,9.210952956
61,2022,9,태백,16.2413028,28.13783063,5.136094003
62,2022,9,통영,22.5037368,31.00900899,15.0731162
63,2022,9,포항,22.08921666,31.87086498,14.31083282
64,2022,9,합천,20.99808521,32.60919801,6.515435673
65,2022,9,해남,21.61387681,31.28709031,9.938836754
66,2022,9,홍천,19.28759556,31.63710261,8.334885418
0,2022,10,강화,13.77113595,25.46317037,0.927788281
