main_text,comment
Cherokee White Eagle corn and a new gifted sacred chinmark flour corn from the Hopi gifted to me from a seed saver out West. By far two of the prettiest color combinations I’ve ever seen. Excited to grow these especially the Hopi since it did well for them out West unusual for a southwestern desert variety. #seedstarting #seed #gardening #garden #vegetarian #vegetablegarden #vegetables #corn #maize #horticulture #agriculture,"{""1"": {""comment_id"": ""maizemagician""  ""comment_text"": ""Cherokee White Eagle corn and a new gifted sacred chinmark flour corn from the Hopi gifted to me from a seed saver out West. By far two of the prettiest color combinations I’ve ever seen. Excited to grow these  especially the Hopi since it did well for them out West  unusual for a southwestern desert variety. #seedstarting #seed #gardening #garden #vegetarian #vegetablegarden #vegetables #corn #maize #horticulture #agriculture""}  ""2"": {""comment_id"": ""maizemagician""  ""comment_text"": ""So beautiful! 🌱""}  ""3"": {""comment_id"": ""perpetualpollen""  ""comment_text"": ""Wow! The red one looks like tiny chestnuts""}  ""4"": {""comment_id"": ""farm.to.future""  ""comment_text"": ""@peakweekpods the shape and colour of the chinmark kernels  almost like an illusion. Stunning!""}  ""5"": {""comment_id"": ""serendipitious.gardenerette""  ""comment_text"": ""😍😍😍😍""}  ""6"": {""comment_id"": ""sauvageyawinonh""  ""comment_text"": ""Amazing😍❤️❤️❤️""}  ""7"": {""comment_id"": ""kims_mini_food_forest""  ""comment_text"": ""Such a beautiful corn.""}  ""8"": {""comment_id"": ""bubu.amy""  ""comment_text"": ""Those are ridiculously beautiful""}  ""9"": {""comment_id"": ""clevelandgrowing""  ""comment_text"": ""That red and white flour corn is the most beautiful corn I've ever seen 😍""}  ""10"": {""comment_id"": ""naturalstatemama""  ""comment_text"": ""😍""}  ""11"": {""comment_id"": ""mcegrace""  ""comment_text"": ""Those are huge kernels 😮""}  ""12"": {""comment_id"": ""greyurchin""  ""comment_text"": ""Wow they are so beautiful ❤️❤️❤️""}  ""13"": {""comment_id"": ""southern_seed_queen""  ""comment_text"": ""that flour corn looks incredible""}  ""14"": {""comment_id"": ""cheyennenajee""  ""comment_text"": ""Wow these are amazingly beautiful! ❤️""}  ""15"": {""comment_id"": ""hawkscreamsundae""  ""comment_text"": ""Wowww 😍""}}"
Maize going in with the Fendt 942 and Amazone Precea in one pass with KG6002 power harrow & FTender front tank 👍🏼#fendt #fendtvario #fendt942 #amazone #precea #amazoneprecea #maize #mais #agriculture@fendt_gmbh@compasstractors@amazone_group@amazone_ltd@masonskings,"{""1"": {""comment_id"": ""combinekeith""  ""comment_text"": ""Maize going in with the Fendt 942 and Amazone Precea in one pass with KG6002 power harrow & FTender front tank 👍🏼\n#fendt #fendtvario #fendt942 #amazone #precea #amazoneprecea #maize #mais #agriculture\n@fendt_gmbh\n@compasstractors\n@amazone_group\n@amazone_ltd\n@masonskings""}  ""2"": {""comment_id"": ""combinekeith""  ""comment_text"": ""👏👏👏""}  ""3"": {""comment_id"": ""irma_sanat""  ""comment_text"": ""Edd letting her Ave it 😍""}  ""4"": {""comment_id"": ""sibaskett""  ""comment_text"": ""@samcollins8732""}}"
Who doesnt love a bit of pit action. Here is a look back at John in the FENDT 939 with duals buck rake and blade working the clamp at the Walters.#FarmingVideo #ProHorizon #Maize #Silage #Fendttractor #tractordriver #tractorsofinsta #farmersofinsta #farm #tractorworking #silagepit #maizepit #farm365 #landwirtshaft #farmingdaily,"{""1"": {""comment_id"": ""prohorizon""  ""comment_text"": ""Who doesnt love a bit of pit action. Here is a look back at John in the FENDT 939 with duals  buck rake and blade working the clamp at the Walters.\n#FarmingVideo #ProHorizon #Maize #Silage #Fendttractor #tractordriver #tractorsofinsta #farmersofinsta #farm #tractorworking #silagepit #maizepit #farm365 #landwirtshaft #farmingdaily""}  ""2"": {""comment_id"": ""prohorizon""  ""comment_text"": ""❤️👏👏""}}"
@once_a_day_farmersOur awesome maize crop standing 4m tall and on its way to being a 30tDM/ha crop has been flattened. Taking off the flattened 1/3 of it on Tuesday 6 weeks early. A day on the chainsaw tomorrow! Max recorded gust here today was 105km/hr #dovi #maize #pioneer #storm #tropicalcyclone #nzfarming #dairy #dairynz #nzfarming,"{""1"": {""comment_id"": ""nzfarming""  ""comment_text"": ""@once_a_day_farmers\n\nOur awesome maize crop standing 4m tall and on its way to being a 30tDM/ha crop has been flattened. Taking off the flattened 1/3 of it on Tuesday  6 weeks early. A day on the chainsaw tomorrow! Max recorded gust here today was 105km/hr #dovi #maize #pioneer #storm #tropicalcyclone #nzfarming #dairy #dairynz #nzfarming""}  ""2"": {""comment_id"": ""nzfarming""  ""comment_text"": ""😢😢😢""}  ""3"": {""comment_id"": ""pirongiaclydesdales""  ""comment_text"": ""😢""}  ""4"": {""comment_id"": ""mylottskid""  ""comment_text"": ""Is it salvageable?""}  ""5"": {""comment_id"": ""dorygower""  ""comment_text"": ""Feel for you! Our maize is the same! All wind 💨 & no rain here on west coast of Northland - thanks for nothing Cyclone Dovi! Hope to harvest on Wednesday🤞""}  ""6"": {""comment_id"": ""57rebelrose""  ""comment_text"": ""@57rebelrose good luck 👍🏼 we’ve had a decent amount of rain over the last week .. hopefully that will keep us going! Hope you get some rain soon 🌧""}  ""7"": {""comment_id"": ""once_a_day_farmers""  ""comment_text"": ""Feeling your pain  we had the winds in September 2 years in a row. Still cleaning up now!""}  ""8"": {""comment_id"": ""markzino152""  ""comment_text"": ""@markzino152 oh no !! That’s crazy!! Yeah the wind sure did make a mess""}  ""9"": {""comment_id"": ""once_a_day_farmers""  ""comment_text"": ""Fark that’s rough. Big love ❤️""}  ""10"": {""comment_id"": ""michaelab_nz""  ""comment_text"": ""Shot a documentary about similar in Iowa last year.""}  ""11"": {""comment_id"": ""hollisbennett""  ""comment_text"": ""😢""}  ""12"": {""comment_id"": ""linda_wilton9""  ""comment_text"": ""Media need to be showing this stuff.""}  ""13"": {""comment_id"": ""rebeckah_hunt""  ""comment_text"": ""@rebeckah_hunt media 🙄 they don’t know how to report ..""}  ""14"": {""comment_id"": ""once_a_day_farmers""  ""comment_text"": ""Frig that’s such a bummer so sorry 😖""}  ""15"": {""comment_id"": ""alimatthews888""  ""comment_text"": ""Wheelbarrow had a lucky break. Terrible mess. Takes a long time to get the trees to that stage.""}  ""16"": {""comment_id"": ""patersonparkandgardens""  ""comment_text"": ""@patersonparkandgardens we planted them ten years ago !! 😢""}  ""17"": {""comment_id"": ""once_a_day_farmers""  ""comment_text"": ""@once_a_day_farmers oh dear  yes looked like they were just in their prime.""}  ""18"": {""comment_id"": ""patersonparkandgardens""  ""comment_text"": ""😮😢""}  ""19"": {""comment_id"": ""nataliefosterelliott""  ""comment_text"": ""@harrimoss""}  ""20"": {""comment_id"": ""samporritt""  ""comment_text"": ""Doh!""}  ""21"": {""comment_id"": ""chantal_lillas""  ""comment_text"": ""Faaaark""}  ""22"": {""comment_id"": ""diggypeacekeeper""  ""comment_text"": ""😢😮""}  ""23"": {""comment_id"": ""schabben""  ""comment_text"": ""😢So sad for you 😭""}  ""24"": {""comment_id"": ""theterraces01""  ""comment_text"": ""Fuck me  Taranaki suffering""}  ""25"": {""comment_id"": ""austin_borst_""  ""comment_text"": ""😢😢""}  ""26"": {""comment_id"": ""tengku_feeza""  ""comment_text"": ""At least u got ya firewood sorted""}  ""27"": {""comment_id"": ""cavan.murphy1""  ""comment_text"": ""@cavan.murphy1 😂😁 🔥""}}"
🇩🇪 Unser Rollsternhackgerät #ROLLSTAR beim #Hacken eines Bestandes für die Saatmaisproduktion 🌱➖➖➖➖🇬🇧 Our rotative #rowcrop cultivator ROLLSTAR #hoeing a field for the seed #maize production 🌿➖➖➖➖🇫🇷 Notre #bineuse à étoiles ROLLSTAR dans la production de #maïs de #semence 🌽➖➖➖➖#einboeck#einbock#einböck#farmpower#fusionfarming#hackgerät#mais#corn#landwirtschaft#farming#agriculture#biolandwirtschaft#biologischelandwirtschaft#organicfarming#agriculturebiologique#weedcontrol#beikrautregulierung#cropcare#desherbage#landtechnik,"{""1"": {""comment_id"": ""einboeck.official""  ""comment_text"": ""🇩🇪 Unser Rollsternhackgerät #ROLLSTAR beim #Hacken eines Bestandes für die Saatmaisproduktion 🌱\n\n➖➖➖➖\n\n🇬🇧 Our rotative #rowcrop cultivator ROLLSTAR #hoeing a field for the seed #maize production 🌿\n\n➖➖➖➖\n\n🇫🇷 Notre #bineuse à étoiles ROLLSTAR dans la production de #maïs de #semence 🌽\n\n➖➖➖➖\n\n#einboeck\n#einbock\n#einböck\n#farmpower\n#fusionfarming\n#hackgerät\n#mais\n#corn\n#landwirtschaft\n#farming\n#agriculture\n#biolandwirtschaft\n#biologischelandwirtschaft\n#organicfarming\n#agriculturebiologique\n#weedcontrol\n#beikrautregulierung\n#cropcare\n#desherbage\n#landtechnik""}  ""2"": {""comment_id"": ""einboeck.official""  ""comment_text"": ""🔥🔥🔥🔥🤩🤩🤩""}  ""3"": {""comment_id"": ""edgar.garetto""  ""comment_text"": ""What about the weeds within the rows where the crop is ?""}  ""4"": {""comment_id"": ""geordieworld""  ""comment_text"": ""🙌❤️🙌""}}"
More glorious organically grown Glass Gem Corn cobs fresh off the plants.🌈This bunch really do look like jellybeans!! 💜💙💚💛🧡❤To get the most colour out of your cobs you need to leave them on the plants until the husks are brown and dried (the texture of a paperbag).If you do need to harvest earlier then at least waiting for the husk to turn beige before you harvest is ideal.To ripen your crop faster once the tassels are dried up and no longer producing any pollen you can remove a fair amount of the foliage this will increase airflow and sunlight and can help the cobs mature faster. 🌱,"{""1"": {""comment_id"": ""buttenshawbackyardfarm""  ""comment_text"": ""More glorious organically grown Glass Gem Corn cobs fresh off the plants.🌈\nThis bunch really do look like jellybeans!! 💜💙💚💛🧡❤\nTo get the most colour out of your cobs  you need to leave them on the plants until the husks are brown and dried (the texture of a paperbag).\nIf you do need to harvest earlier  then at least waiting for the husk to turn beige before you harvest is ideal.\nTo ripen your crop faster  once the tassels are dried up and no longer producing any pollen  you can remove a fair amount of the foliage  this will increase airflow and sunlight and can help the cobs mature faster. 🌱""}  ""2"": {""comment_id"": ""buttenshawbackyardfarm""  ""comment_text"": ""@dannydigby""}  ""3"": {""comment_id"": ""isasaskia""  ""comment_text"": ""@oliviaobrien""}  ""4"": {""comment_id"": ""camille.kamaaina""  ""comment_text"": ""😍""}  ""5"": {""comment_id"": ""theflowerpot.ct""  ""comment_text"": ""🔥🔥🔥""}  ""6"": {""comment_id"": ""dvoretskaia5257""  ""comment_text"": ""Incredible""}  ""7"": {""comment_id"": ""pseudologuelog""  ""comment_text"": ""I love glass corn content!!""}  ""8"": {""comment_id"": ""karinaglasgow""  ""comment_text"": ""I really appreciate your growing tips. I wish I had known this a bit earlier…my Blue Hopi Corn has been hammered by the rain and the rats. Not sure if hurrying it up would have helped  but one can always try. What part of the foliage do you remove? The top tassel?""}  ""9"": {""comment_id"": ""sewlindsay""  ""comment_text"": ""@sewlindsay you can remove almost everything that's not the cobs or stalks  they only need a couple of leaves to keep growing. Thinning is another good way to help deter the rats too as it makes it more difficult for them to climb and walk between the plants... not to mention that they are then more obvious to predators.""}  ""10"": {""comment_id"": ""buttenshawbackyardfarm""  ""comment_text"": ""Wonderful! My children had a scream as they see that beautiful corns. Can I buy some cornseeds please 🙏🏻""}  ""11"": {""comment_id"": ""yunusderbauer""  ""comment_text"": ""Wow. Nature is amazing. How gorgeous is that?❤️""}  ""12"": {""comment_id"": ""jdemersart""  ""comment_text"": ""Wow they are so beautiful Nat 😍""}  ""13"": {""comment_id"": ""down_the_little_dirtroad""  ""comment_text"": ""it's hard to believe these are real  they're so gorgeous!""}  ""14"": {""comment_id"": ""karenthompson_maker""  ""comment_text"": ""@jess_liland""}  ""15"": {""comment_id"": ""louisa.liland""  ""comment_text"": ""@louisa.liland what is this wizardry 😍""}  ""16"": {""comment_id"": ""jess_liland""  ""comment_text"": ""@jess_liland looks so beautiful. Would make such a pretty addition to meals!""}  ""17"": {""comment_id"": ""louisa.liland""  ""comment_text"": ""Can these also make into popcorns?""}  ""18"": {""comment_id"": ""thehappygreenhouselife""  ""comment_text"": ""@thehappygreenhouselife yes they're excellent popcorn 🍿""}  ""19"": {""comment_id"": ""buttenshawbackyardfarm""  ""comment_text"": ""😍😍😍""}  ""20"": {""comment_id"": ""theseedcollection""  ""comment_text"": ""Handy tips thank you""}  ""21"": {""comment_id"": ""rojakpod""  ""comment_text"": ""Are these best for eating or grinding for flour?""}  ""22"": {""comment_id"": ""therapyinthegarden""  ""comment_text"": ""@therapyinthegarden they're great for popcorn or cornmeal""}  ""23"": {""comment_id"": ""buttenshawbackyardfarm""  ""comment_text"": ""Oh beautiful... you could just look at them for hours! Nature is incredible!""}  ""24"": {""comment_id"": ""four_eat""  ""comment_text"": ""beautiful  wonderful  amazing 💜💛💚🧡💙❤💜💛""}  ""25"": {""comment_id"": ""beni_orquideas""  ""comment_text"": ""#food #Corn #maize #glassgemcorn #seedfarm #theseedcollection #freshharvest #organicallygrown #productivegarden #gardener #gardening #gardenersofig #gardenersofinstagram #foodgram #harvest #cobs #rainbow #rainbowfood #crop #gardentips #seedsavers #urbanfarming #farmlife #farmyouryard #multicolor #freshfood #heirloom #funthings #grow #growyourownfood""}}"
Claas Jaguar 980 with Orbis 900....@claas@claas_collection@claas_machinery....#farming #farminglife #farmingphotos #farmingpics #farmingphotographydaily #landtechnik #landtechnikfotos #landtechnikfotografie #landtechnikimeinsatz #maize #jaguar #claasjaguar980,"{""1"": {""comment_id"": ""agropictures""  ""comment_text"": ""Claas Jaguar 980 with Orbis 900.\n.\n.\n.\n@claas\n@claas_collection\n@claas_machinery\n.\n.\n.\n.\n#farming #farminglife #farmingphotos #farmingpics #farmingphotographydaily #landtechnik #landtechnikfotos #landtechnikfotografie #landtechnikimeinsatz #maize #jaguar #claasjaguar980""}}"
Glass Gem Corn answers to the most commonly asked questions:🌽 Yes it's edible it's not a sweet corn so it best used for popcorn or cornmeal.🌽 It is a heirloom open pollinated corn not GMO.🌽 It is completely natural and gets its colour from Cherokee origins.🌽 Seeds are available in Australia from @theseedcollection or in other countries try @bakercreekseeds,"{""1"": {""comment_id"": ""buttenshawbackyardfarm""  ""comment_text"": ""Glass Gem Corn answers to the most commonly asked questions:\n🌽 Yes it's edible  it's not a sweet corn so it best used for popcorn or cornmeal.\n🌽 It is a heirloom open pollinated corn  not GMO.\n🌽 It is completely natural and gets its colour from Cherokee origins.\n🌽 Seeds are available in Australia from @theseedcollection or in other countries try @bakercreekseeds""}  ""2"": {""comment_id"": ""buttenshawbackyardfarm""  ""comment_text"": ""@twilli32 show Matt""}  ""3"": {""comment_id"": ""theoneandonlysammy""  ""comment_text"": ""Can you just buy the corn instead of the seeds?""}  ""4"": {""comment_id"": ""karen_tart_levy""  ""comment_text"": ""Do you mean on the cob? You would have to buy from someone local 😉""}  ""5"": {""comment_id"": ""buttenshawbackyardfarm""  ""comment_text"": ""@buttenshawbackyardfarm Yes…on the cob! Not sure where I’d find someone local in PA!""}  ""6"": {""comment_id"": ""karen_tart_levy""  ""comment_text"": ""@karen_tart_levy perhaps try @bakercreekseeds""}  ""7"": {""comment_id"": ""buttenshawbackyardfarm""  ""comment_text"": ""Wow was für Farben 💛🧡💜❤️""}  ""8"": {""comment_id"": ""ei_des_drachens""  ""comment_text"": ""@strongwoman_jess""}  ""9"": {""comment_id"": ""amanda_radca""  ""comment_text"": ""@amanda_radca can’t wait to grow these!""}  ""10"": {""comment_id"": ""strongwoman_jess""  ""comment_text"": ""Great post. I've never grown this type of corn so I wondered if it was edible. Now I know. Thanks.""}  ""11"": {""comment_id"": ""comegardenwithmecanada""  ""comment_text"": ""#theseedcollection #thehappygardeninglife #glassgemcorn #foodphotography #foodgardener #corn #maize #heirloomcorn #eattherainbow #growfood #instagramgardeners #gardeninspiration #gardenersofinsta #instagardener #rainbowfood #rainbow #rainbowcorn #photooftheday #foodphoto #freshfood #harvest #grow #grownfromseed #growyourown #photooftheday #naturalbeauty #lovegardening #maize #montrosevictoria #australiangardener""}}"
Claas Lexion 780 TT with 12-row Geringhoff adapter when harvesting corn for grain....@claas@claas_collection@claas.fotos@claasfans_cz_sk@biolife_spol.s.r.o@perard.agri@krampe_fahrzeugbau....#farming #farminglife #farmingphotos #farmingpics #farmingphotographydaily #landtechnik #landtechnikfotos #landtechnikfotografie #landtechnikimeinsatz #maize #slovakia #slovakiafarming #2021 #maizeharvest #claas #claaspower #claaslexion #claaslexion780tt #geringhoff #perard #krampekipper,"{""1"": {""comment_id"": ""agropictures""  ""comment_text"": ""Claas Lexion 780 TT with 12-row Geringhoff adapter when harvesting corn for grain.\n.\n.\n.\n@claas\n@claas_collection\n@claas.fotos\n@claasfans_cz_sk\n@biolife_spol.s.r.o\n@perard.agri\n@krampe_fahrzeugbau\n.\n.\n.\n.\n#farming #farminglife #farmingphotos #farmingpics #farmingphotographydaily #landtechnik #landtechnikfotos #landtechnikfotografie #landtechnikimeinsatz #maize #slovakia #slovakiafarming #2021 #maizeharvest #claas #claaspower #claaslexion #claaslexion780tt #geringhoff #perard #krampekipper""}  ""2"": {""comment_id"": ""agropictures""  ""comment_text"": ""❤️""}  ""3"": {""comment_id"": ""le_petit_paysan_francais""  ""comment_text"": ""😍🔥👏""}  ""4"": {""comment_id"": ""_rodgauer_agrartechnik_""  ""comment_text"": ""@_rodgauer_agrartechnik_ Thanks 🙂""}  ""5"": {""comment_id"": ""agropictures""  ""comment_text"": ""Koľko krát si tam bol v kalnej ? 😂ja keď som bol iba ideál išiel  inak super fotky 😁""}  ""6"": {""comment_id"": ""matuspetras""  ""comment_text"": ""@agropictures často krát áno  si hovoril že tam budeš častejšie  čo sa tam sťahujes ? 😂""}  ""7"": {""comment_id"": ""matuspetras""  ""comment_text"": ""@matuspetras to nie ale chcel by som tam nafotiť stroje od jary až do zimy..""}  ""8"": {""comment_id"": ""agropictures""  ""comment_text"": ""@agropictures wow tak to je super 👏""}}"
Como não postar essa foto~♡....#ilive #i #live #lisa #maize #girl,"{""1"": {""comment_id"": ""ilive_lisa""  ""comment_text"": ""Como não postar essa foto~♡\n.\n.\n.\n.\n#ilive #i #live #lisa #maize #girl""}}"
