main_text,comment
🔸Here is why I hate AAPL.🔸 You didn’t believe me did you? $10000 invested in AAPL in 2012 would be worth roughly $100000 today. The phenomenal performance is a result of continuous innovation paired with a strong brand.🔸Apple still has room to grow further. Over 1.2 billion iPhones are active today. Not to mention all their other devices. That is a major opportunity for their service business to expand further. Due to the scalable nature of that segment their bottom line will expand and with it the valuation.🔸AAPL is also one of my TOP 5 holdings. Check out my portfolio while you still can. You know where to find it....Disclaimer:The Content is for informational purposes only. This is not financial advice....#applestock #apple #billgates #warrenbuffett #aapl #tsla #dividendgrowth #growthinvesting #dividend #dividends #dividendincome #dividendinvesting #dividendgrowthstocks #dividendyield #dividendstocks #dividendinvesting #investingeducation #stockstowatch #stockstobuy #stockstohold #stockmarketnews #teslastock #hustle #nyse #nasdaq #valueinvesting #growthstocks #stockstotrade #stevejobs#dividendgrowthinvesting,"{""1"": {""comment_id"": ""goodstudent_investing""  ""comment_text"": ""🔸Here is why I hate AAPL.\n\n🔸 You didn’t believe me  did you? $10 000 invested in AAPL in 2012 would be worth roughly $100 000 today. The phenomenal performance is a result of continuous innovation paired with a strong brand.\n\n🔸Apple still has room to grow further. Over 1.2 billion iPhones are active today. Not to mention all their other devices. That is a major opportunity for their service business to expand further. Due to the scalable nature of that segment  their bottom line will expand and with it the valuation.\n\n🔸AAPL is also one of my TOP 5 holdings. Check out my portfolio while you still can. You know where to find it.\n.\n.\n.\nDisclaimer:\nThe Content is for informational purposes only. This is not financial advice.\n.\n.\n.\n#applestock #apple #billgates #warrenbuffett #aapl #tsla #dividendgrowth #growthinvesting #dividend #dividends #dividendincome #dividendinvesting #dividendgrowthstocks #dividendyield #dividendstocks #dividendinvesting #investingeducation #stockstowatch #stockstobuy #stockstohold #stockmarketnews #teslastock #hustle #nyse #nasdaq #valueinvesting #growthstocks #stockstotrade #stevejobs\n#dividendgrowthinvesting""}  ""2"": {""comment_id"": ""goodstudent_investing""  ""comment_text"": ""Like this one. Great job 🙌""}  ""3"": {""comment_id"": ""dividendclub""  ""comment_text"": ""Great info! Thanks for sharing 🙌🙌""}  ""4"": {""comment_id"": ""investo.graphics""  ""comment_text"": ""@goodstudent_investing The design 🙌""}  ""5"": {""comment_id"": ""diyinvestment""  ""comment_text"": ""Very cool graphic- Apple is one of our biggest holdings!""}  ""6"": {""comment_id"": ""holistic.personal.finance""  ""comment_text"": ""@holistic.personal.finance it’s such a beast company!""}  ""7"": {""comment_id"": ""that_investor""  ""comment_text"": ""One of my top holdings for a reason 📈📈📈""}  ""8"": {""comment_id"": ""cervknowledge""  ""comment_text"": ""@cervknowledge it’s holding up so well in this market 🙌""}  ""9"": {""comment_id"": ""that_investor""  ""comment_text"": ""One of the best companies in the world  no doubt 👏""}  ""10"": {""comment_id"": ""stocksfor2day""  ""comment_text"": ""@stocksfor2day you think they will reclaim top dog soon?""}  ""11"": {""comment_id"": ""that_investor""  ""comment_text"": ""Such an awesome design 🔥🔥""}  ""12"": {""comment_id"": ""cmgventure""  ""comment_text"": ""@cmgventure always good content here 👌""}  ""13"": {""comment_id"": ""that_investor""  ""comment_text"": ""😂😂😂 the first sentence of the caption had me all fired up ready to comment. Their use of free cash flow and constant share buybacks just keeps this thing going strong 💪""}  ""14"": {""comment_id"": ""lticapital.finance""  ""comment_text"": ""@lticapital.finance right lol that line had me reading the entire thing to see why""}  ""15"": {""comment_id"": ""that_investor""  ""comment_text"": ""Can’t go wrong with AAPL!""}  ""16"": {""comment_id"": ""hespelerholdings""  ""comment_text"": ""Why do you hate AAPL""}  ""17"": {""comment_id"": ""christianb621""  ""comment_text"": ""@christianb621 satire""}  ""18"": {""comment_id"": ""that_investor""  ""comment_text"": ""Why I love it  you know I’m buying some more 😂""}  ""19"": {""comment_id"": ""millennimillie""  ""comment_text"": ""The 👑will be back!📈📈📈""}  ""20"": {""comment_id"": ""investingfanatics""  ""comment_text"": ""They definitely have more room to grow 🔥""}  ""21"": {""comment_id"": ""investingwithbee""  ""comment_text"": ""You deserve an oscar for the visual presentation😂👏👏👏""}  ""22"": {""comment_id"": ""global.stock.flash""  ""comment_text"": ""Nice explanation 🙌❤️❤️""}  ""23"": {""comment_id"": ""blbk_investment_fx""  ""comment_text"": ""A one of one type of company!""}  ""24"": {""comment_id"": ""guidetoinvesting""  ""comment_text"": ""Apple was and will BE one of the greatest Investment for Most of the people If you only compare the chnaces With the risks🔥👏""}  ""25"": {""comment_id"": ""aushilfselon""  ""comment_text"": ""A Great Company 🔥🔥""}  ""26"": {""comment_id"": ""financialfreedom.investor""  ""comment_text"": ""You keep impressing with the designs🙌""}  ""27"": {""comment_id"": ""youngvesting""  ""comment_text"": ""You mean have not hate  right? Hahah (in the description) - awesome picture!🙌""}}"
💦💌24 SAATLİK ÇEKİLİŞ💦💌Çekilişimize Katılmak İçin;1)➫ Bu gönderiyi beğen ve kaydet ! [ Kontrol Ediliyor ]2)➫ @defnesonuclar2 sayfamızın takip ettiği tüm hesapları takip et! [ Kontrol Ediliyor ]3)➫ Yoruma 1 Kez ''Katıldım'' yaz.DİKKAT @defneninhediyeleri sayfamız takip engeli yediği için @defnesonuclar2 sayfasının takip ettiği hesapları takip etmeniz gerekiyor..Not : Isteyenler 3-5 Hesabıyla Katılım Sağlayabilir ( Fake Hesaplar Çekilişe Katılabilir )Takip Et Butonunun Üzerinden Gönderi Bildirimlerini Aç Açtıgınıza Dair Bizlere Ekran görüntüsünü mesaj olarak at [ Daha Önce Atanların Birdaha Atmasına Gerek Yoktur.]24 SAAT sonra canlı yayında açıklanıcakHerkese Bol Şans 🎉#çekiliş #çekilişvar #cekilis #çekilişzamanı #giyim #telefon #apple #samsung #telefon #hediye #sponsorlu,"{""1"": {""comment_id"": ""defneninhediyeleri""  ""comment_text"": ""💦💌24 SAATLİK ÇEKİLİŞ💦💌\n\nÇekilişimize Katılmak İçin;\n\n1)➫ Bu gönderiyi beğen ve kaydet ! [ Kontrol Ediliyor ]\n2)➫ @defnesonuclar2 sayfamızın takip ettiği tüm hesapları takip et! [ Kontrol Ediliyor ]\n3)➫ Yoruma 1 Kez ''Katıldım'' yaz.\n\nDİKKAT @defneninhediyeleri sayfamız takip engeli yediği için @defnesonuclar2 sayfasının takip ettiği hesapları takip etmeniz gerekiyor.\n.\nNot : Isteyenler 3-5 Hesabıyla Katılım Sağlayabilir ( Fake Hesaplar Çekilişe Katılabilir )\n\nTakip Et Butonunun Üzerinden Gönderi Bildirimlerini Aç Açtıgınıza Dair Bizlere Ekran görüntüsünü mesaj olarak at [ Daha Önce Atanların Birdaha Atmasına Gerek Yoktur.]\n\n24 SAAT sonra canlı yayında açıklanıcak\n\nHerkese Bol Şans 🎉\n#çekiliş #çekilişvar #cekilis #çekilişzamanı #giyim #telefon #apple #samsung #telefon #hediye #sponsorlu""}  ""2"": {""comment_id"": ""defneninhediyeleri""  ""comment_text"": ""Katıldım""}  ""3"": {""comment_id"": ""dogaltaskaraboncuk07""  ""comment_text"": ""Katıldım""}  ""4"": {""comment_id"": ""emine.yenerer""  ""comment_text"": ""Katıldım 😂""}  ""5"": {""comment_id"": ""serife_ismail_aktas""  ""comment_text"": ""Katildim""}  ""6"": {""comment_id"": ""aysegonu01""  ""comment_text"": ""Katıldım""}  ""7"": {""comment_id"": ""aysenuur.ahmet""  ""comment_text"": ""Katıldım""}  ""8"": {""comment_id"": ""aysenuur.ahmet""  ""comment_text"": ""Katıldım""}  ""9"": {""comment_id"": ""naime.dogan.35""  ""comment_text"": ""Katıldım""}  ""10"": {""comment_id"": ""meralyvzl""  ""comment_text"": ""Katıldım 🌺🌺🌺""}  ""11"": {""comment_id"": ""melike_polat1921""  ""comment_text"": ""KATILDIM""}  ""12"": {""comment_id"": ""hasret_karkin58""  ""comment_text"": ""Katıldım""}  ""13"": {""comment_id"": ""selma_gunduz52""  ""comment_text"": ""KATILDIM 🔥""}  ""14"": {""comment_id"": ""havva_rvas""  ""comment_text"": ""Katıldım""}  ""15"": {""comment_id"": ""rmys.drsn""  ""comment_text"": ""Katıldım""}  ""16"": {""comment_id"": ""omer_ebru_75""  ""comment_text"": ""Katıldım""}  ""17"": {""comment_id"": ""omer_ebru_75""  ""comment_text"": ""Katıldım😂""}  ""18"": {""comment_id"": ""tugceergun_2543""  ""comment_text"": ""Katıldım""}  ""19"": {""comment_id"": ""muharrem_zeyneb_kmc""  ""comment_text"": ""Katıldım""}  ""20"": {""comment_id"": ""kadriyemenemencioglucc""  ""comment_text"": ""Katıldım👏👏👏👏""}  ""21"": {""comment_id"": ""dilara__demir07""  ""comment_text"": ""Katıldım""}}"
Do you like minimal looking setups?🤍-via: @tjpinkush-Follow @techdozer for daily tech posts📱💻-#tech #technology #gadget #hightech #instatech #apple #applefan #appleproducts #trend #teamiphone #iphone13 #iphone13pro #iphone13promax #iphone13mini #airpods #airpods3 #iphone2021 #ipad #ipadpro #macbook #macbookpro #setup #macbookm1 #minimal #macos #coffee #coffeemug #coffeelover #coffeetime #luxury,"{""1"": {""comment_id"": ""techdozer""  ""comment_text"": ""Do you like minimal looking setups?🤍\n-\nvia: @tjpinkush\n-\nFollow @techdozer for daily tech posts📱💻\n-\n#tech #technology #gadget #hightech #instatech #apple #applefan #appleproducts #trend #teamiphone #iphone13 #iphone13pro #iphone13promax #iphone13mini #airpods #airpods3 #iphone2021 #ipad #ipadpro #macbook #macbookpro #setup #macbookm1 #minimal #macos #coffee #coffeemug #coffeelover #coffeetime #luxury""}  ""2"": {""comment_id"": ""techdozer""  ""comment_text"": ""Inbox me if you want your iPhone issues to be solve immediately\nlos problemas de tu iPhone se resuelvan de inmediato. Contáctame  estoy esperando.\nChat me up\n@iphone_repair_here""}  ""3"": {""comment_id"": ""iphone_repair_here""  ""comment_text"": ""Soo beautiful 😍😍😍""}}"
"Apple has officially released iOS 15.5 to the public. This isn't a game-changing update but it does introduce a suite of small but useful tweaks that seem to lay the foundation for larger changes in the future.⁠⁠If you want to know what Apple's planning to show off at WWDC and beyond iOS 15.5 might offer some clues. According to the developer build we saw last week payments are front and center — with Apple Pay Cash receiving new ""Send"" and ""Request"" buttons that make paying from your Apple Cash card a little easier. iTunes Pass funds will now be displayed as an Apple Account Card seemingly designed as an easier way to manage your account balance.⁠⁠Hoping for something a little more exciting? You won't have to wait long: Apple is expected to show a lot more about the next major update iOS 16 at WWDC next month.⁠⁠Tap the link in our bio for more details.⁠⁠#Apple #iOS #iPhone #WWDC","{""1"": {""comment_id"": ""cnet""  ""comment_text"": ""Apple has officially released iOS 15.5 to the public. This isn't a game-changing update  but it does introduce a suite of small  but useful tweaks that seem to lay the foundation for larger changes in the future.⁠\n⁠\nIf you want to know what Apple's planning to show off at WWDC and beyond  iOS 15.5 might offer some clues. According to the developer build we saw last week  payments are front and center — with Apple Pay Cash receiving new \""Send\"" and \""Request\"" buttons that make paying from your Apple Cash card a little easier. iTunes Pass funds will now be displayed as an Apple Account Card  seemingly designed as an easier way to manage your account balance.⁠\n⁠\nHoping for something a little more exciting? You won't have to wait long: Apple is expected to show a lot more about the next major update  iOS 16  at WWDC next month.⁠\n⁠\nTap the link in our bio for more details.⁠\n⁠\n#Apple #iOS #iPhone #WWDC""}  ""2"": {""comment_id"": ""cnet""  ""comment_text"": ""My iphone 13 has become slow after update. Anyone else?""}  ""3"": {""comment_id"": ""chivalrousbhaumik""  ""comment_text"": ""I made $32k with the help of @alepietrocola__official""}  ""4"": {""comment_id"": ""qerachorltlkonstantlna_1""  ""comment_text"": ""I’m skeptical there will me much more exciting things at WWDC. iOS 15 was so boring I didn’t even bother with the beta""}  ""5"": {""comment_id"": ""coy989""  ""comment_text"": ""Basically an update to mess up your phone to force you to upgrade. #neverupdateyourios""}  ""6"": {""comment_id"": ""hausofcorvus""  ""comment_text"": ""I’M PAYING OFF DEBTS OF FIRST 10 PEOPLE TO DM “DEBT” 🌏💸💵""}}"
Just wanted to drop in and show off the new desk setup color theme. 🌊Featuring the @iqunix A80 Explorer keyboard. 👀What do you think of this variation of my setup? Let me know below! 💬Follow for more @natevietz🏷•••#workspacegoals #officeinspo #battlestations #desktour #workspacedesign #setuptour #minimalsetup #officeinspiration #setupinspiration #workfromhome #apple #workspaces #cleansetups #mechanicalkeybords #deskstyling #macbookpro #desktop #designyourworkspace #isetups,"{""1"": {""comment_id"": ""natevietz""  ""comment_text"": ""Just wanted to drop in and show off the new desk setup color theme. 🌊\n\nFeaturing the @iqunix A80 Explorer keyboard. 👀\n\nWhat do you think of this variation of my setup? Let me know below! 💬\n\nFollow for more @natevietz\n\n🏷\n•\n•\n•\n\n#workspacegoals #officeinspo #battlestations #desktour #workspacedesign #setuptour #minimalsetup #officeinspiration #setupinspiration #workfromhome #apple #workspaces #cleansetups #mechanicalkeybords #deskstyling #macbookpro #desktop #designyourworkspace #isetups""}  ""2"": {""comment_id"": ""natevietz""  ""comment_text"": ""Stunning keyboard 😍😍😍""}  ""3"": {""comment_id"": ""melatech.it""  ""comment_text"": ""@melatech.it thanks bro!!!""}  ""4"": {""comment_id"": ""natevietz""  ""comment_text"": ""So sick! 🔥""}  ""5"": {""comment_id"": ""mnml_visuals""  ""comment_text"": ""@mnml_visuals thanks man!!!""}  ""6"": {""comment_id"": ""natevietz""  ""comment_text"": ""Awesome setup nate🙌❤️""}  ""7"": {""comment_id"": ""minimalsayan""  ""comment_text"": ""@minimalsayan Hey thank you bro!! 🙌🙌""}  ""8"": {""comment_id"": ""natevietz""  ""comment_text"": ""Looking hella good bro""}  ""9"": {""comment_id"": ""corssontech""  ""comment_text"": ""@corssontech aye thank you brotha! I appreciate it. How do you like the blue vibe 👀👀""}  ""10"": {""comment_id"": ""natevietz""  ""comment_text"": ""@natevietz I’m liking it man. Looks really good!""}  ""11"": {""comment_id"": ""corssontech""  ""comment_text"": ""It's freaking awesome! 🔥Love the vibe!!""}  ""12"": {""comment_id"": ""iqunix""  ""comment_text"": ""@iqunix thank you!! Appreciate you guys sending this out""}  ""13"": {""comment_id"": ""natevietz""  ""comment_text"": ""aggressive looking 🔥""}  ""14"": {""comment_id"": ""teomnml""  ""comment_text"": ""@teomnml thanks bro!!!""}  ""15"": {""comment_id"": ""natevietz""  ""comment_text"": ""🔥🔥🔥 making me want that keyboard Bro! Loving the theme too 💪🏾""}  ""16"": {""comment_id"": ""irvinforbes""  ""comment_text"": ""@irvinforbes dude it’s pretty nice!!! @iqunix knocked it out. I love all their keyboards 🔥🔥""}  ""17"": {""comment_id"": ""natevietz""  ""comment_text"": ""@natevietz that’s dope! You definitely got me onto it for sure 🙌🏾""}  ""18"": {""comment_id"": ""irvinforbes""  ""comment_text"": ""Nice keycaps 👏🔥""}  ""19"": {""comment_id"": ""ryanrivaldovierraa""  ""comment_text"": ""@ryanrivaldovierraa thanks!! 😎""}  ""20"": {""comment_id"": ""natevietz""  ""comment_text"": ""Beautiful workspace""}  ""21"": {""comment_id"": ""matthew_erre90""  ""comment_text"": ""@matthew_erre90 thanks man! It’s awesome!""}  ""22"": {""comment_id"": ""natevietz""  ""comment_text"": ""This looks fantastic Nate! 💯🔥""}}"
iPhone 14 Pro Purple 💜Credits @atuos_userFollow @gameoftech_#iPhone14Pro #iPhone14ProMax #iPhone14 #iPhone14Max #Apple #iPhone,"{""1"": {""comment_id"": ""gameoftech_""  ""comment_text"": ""iPhone 14 Pro Purple 💜\n\nCredits @atuos_user\n\nFollow @gameoftech_\n\n#iPhone14Pro #iPhone14ProMax #iPhone14 #iPhone14Max #Apple #iPhone""}  ""2"": {""comment_id"": ""gameoftech_""  ""comment_text"": ""🤢🤮""}  ""3"": {""comment_id"": ""aimgogaming""  ""comment_text"": ""😮""}  ""4"": {""comment_id"": ""crixus_john""  ""comment_text"": ""@farajissa8""}  ""5"": {""comment_id"": ""mahmoudzoubikenan89""  ""comment_text"": ""Would love it in purple 😍""}  ""6"": {""comment_id"": ""iamblazeeldominicano""  ""comment_text"": ""Wow""}  ""7"": {""comment_id"": ""tech_secrets_""  ""comment_text"": ""good but that notch is still too big..""}  ""8"": {""comment_id"": ""fyk7x""  ""comment_text"": ""Uffff""}  ""9"": {""comment_id"": ""arlettejim.31""  ""comment_text"": ""😍""}  ""10"": {""comment_id"": ""viratel_parts""  ""comment_text"": ""@iphone_indonesia_officiall @halo.storeid""}  ""11"": {""comment_id"": ""hilmi90344""  ""comment_text"": ""Best shaped""}}"
*Qeydiyyat və 1(Bir) il zəmanət daxil**Qiymətləri daha da endirdik💥💥*Samsung modelleri*S22 ultra 256gb black 2300aznS22 ultra 256gb burgundy 2300aznS22 ultra 256gb green 2300aznS22 ultra 512gb black 2600aznS22 ultra 512gb green 2600aznZ fold3 256gb duos black 2600aznZ fold3 256gb duos silver 2600aznZ fold3 512gb duos black 2800aznZ fold3 512gb duos green 2800azn💳 Bütün məhsullara BİRKART və TAMKART ödəmə imkanı.🚆 Metroya çatdırılma pulsuz.🏠 Şəhər daxili ünvanlara çatdırılma pulsuz.📱 Əlaqə/ Contact: +9940506417277#azerbaycan #az #azerbaijan #azərbaycan #azerbaycan🇦🇿 #baku #baki #bakı #bakuazerbaijan #caseiphone #iphonography #shotoniphone #apple #applewatch #appleiphone #appleairpods #applebaku #airpods #serfeli #ucuz #ucuzluq #onlineshoppingazerbaijan  #онлайнмагазиназербайджан #instagram #shopaz #баку #азербайджан #maygununроstu#𝐃𝐫𝒜𝓎𝓁𝒾𝓃2✰ #kayɖ16,"{""1"": {""comment_id"": ""apple_baku_313""  ""comment_text"": ""*Qeydiyyat və 1(Bir) il zəmanət daxil*\n*Qiymətləri daha da endirdik💥💥\n*Samsung modelleri*\n\nS22 ultra 256gb black 2300azn\nS22 ultra 256gb burgundy 2300azn\nS22 ultra 256gb green 2300azn\n\nS22 ultra 512gb black 2600azn\nS22 ultra 512gb green 2600azn\n\nZ fold3 256gb duos black 2600azn\nZ fold3 256gb duos silver 2600azn\nZ fold3 512gb duos black 2800azn\nZ fold3 512gb duos green 2800azn\n💳 Bütün məhsullara BİRKART və TAMKART ödəmə imkanı.\n🚆 Metroya çatdırılma pulsuz.\n🏠 Şəhər daxili ünvanlara çatdırılma pulsuz.\n📱 Əlaqə/ Contact: +9940506417277\n#azerbaycan #az #azerbaijan #azərbaycan #azerbaycan🇦🇿 #baku #baki #bakı #bakuazerbaijan #caseiphone #iphonography #shotoniphone #apple #applewatch #appleiphone #appleairpods #applebaku #airpods #serfeli #ucuz #ucuzluq #onlineshoppingazerbaijan  #онлайнмагазиназербайджан #instagram #shopaz #баку #азербайджан #maygununроstu\n#𝐃𝐫𝒜𝓎𝓁𝒾𝓃2✰ #kayɖ16""}}"
APPLE 🍎 OG MAGSAFE SILICON CASE12/12 PRO /12 PROMAX13/13MINI/13PRO/13PROMAX#best1mobileacc #iphone13 #iphone14 #iphone13pro #iphone14pro #iphone13promax #iphone14promax #iphone14max #new #trendingreels #share #viral #apple #silicone,"{""1"": {""comment_id"": ""best1___mobile_acc_""  ""comment_text"": ""APPLE 🍎 OG MAGSAFE SILICON CASE\n\n12/12 PRO /12 PROMAX\n13/13MINI/13PRO/13PROMAX\n\n#best1mobileacc #iphone13 #iphone14 #iphone13pro #iphone14pro #iphone13promax #iphone14promax #iphone14max #new #trendingreels #share #viral #apple #silicone""}  ""2"": {""comment_id"": ""best1___mobile_acc_""  ""comment_text"": ""Price 13pro""}  ""3"": {""comment_id"": ""mahaveersingh.rajput.750""  ""comment_text"": ""Pp""}  ""4"": {""comment_id"": ""igaesha_3""  ""comment_text"": ""Price? Chalk Pink 13 Pro""}  ""5"": {""comment_id"": ""abhishekdhakate333""  ""comment_text"": ""😍😍""}  ""6"": {""comment_id"": ""technomoba""  ""comment_text"": ""Price ???""}  ""7"": {""comment_id"": ""prathameshnaik9999""  ""comment_text"": ""Price?????""}  ""8"": {""comment_id"": ""soumyamimo""  ""comment_text"": ""Do u have for 11 pro""}  ""9"": {""comment_id"": ""sathyamac2799""  ""comment_text"": ""Price for blue ?""}  ""10"": {""comment_id"": ""a_noweira""  ""comment_text"": ""Price""}  ""11"": {""comment_id"": ""yuvraj_rajput9""  ""comment_text"": ""fog blue 13 pro case price ?""}  ""12"": {""comment_id"": ""ujjawal249""  ""comment_text"": ""Price broo""}  ""13"": {""comment_id"": ""sme_ones_spl""  ""comment_text"": ""Price plz ???""}  ""14"": {""comment_id"": ""yasintinwala""  ""comment_text"": ""pp""}  ""15"": {""comment_id"": ""shaktirajsinhjadeja""  ""comment_text"": ""Pp""}  ""16"": {""comment_id"": ""diva.style.clothing""  ""comment_text"": ""Price ?""}  ""17"": {""comment_id"": ""adsawalkar""  ""comment_text"": ""Pp 13 pro max""}  ""18"": {""comment_id"": ""heer1398""  ""comment_text"": ""Price""}  ""19"": {""comment_id"": ""_kailash_2882_""  ""comment_text"": ""What is og stands for?""}  ""20"": {""comment_id"": ""_pulkit_chadha_""  ""comment_text"": ""@_pulkit_chadha_ - means same as original""}  ""21"": {""comment_id"": ""goyalshivam""  ""comment_text"": ""Price""}  ""22"": {""comment_id"": ""drkarthik_k""  ""comment_text"": ""Price""}}"
.اسکرین شات از کل سایت 😊با لایک و کامنت از ما حمایت کنید 🙏🏻🌹تماس با ما09363272277_ _ _ _ _ _ _ _ _#اسکرین #اسکرین_شات #آیفون #آموزش #خدمات #دارابی_استور#apple #iphone #darabistore,"{""1"": {""comment_id"": ""darabi_store""  ""comment_text"": "".\nاسکرین شات از کل سایت 😊\n\nبا لایک و کامنت از ما حمایت کنید 🙏🏻🌹\n\nتماس با ما\n09363272277\n\n_ _ _ _ _ _ _ _ _\n\n#اسکرین #اسکرین_شات #آیفون #آموزش #خدمات #دارابی_استور\n#apple #iphone #darabistore""}  ""2"": {""comment_id"": ""darabi_store""  ""comment_text"": ""مچکرم 🙌""}  ""3"": {""comment_id"": ""mah_ban8377""  ""comment_text"": ""توی اندروید هم هست !!!! 😐😐""}  ""4"": {""comment_id"": ""mohamad.moharami64""  ""comment_text"": ""عااالی""}  ""5"": {""comment_id"": ""excellent.perfect.good""  ""comment_text"": ""👏👏👏👏""}  ""6"": {""comment_id"": ""mr.amin0007""  ""comment_text"": ""عالی بود""}  ""7"": {""comment_id"": ""mojtaba.sh.r""  ""comment_text"": ""خيلي عالى هستين👏👏👏""}  ""8"": {""comment_id"": ""leilabakhshi84""  ""comment_text"": ""من امنحان کردم نشد""}  ""9"": {""comment_id"": ""mohammad.saghekosar__""  ""comment_text"": ""این دیگه اسکرین شات نیست پی دی افه😕""}  ""10"": {""comment_id"": ""amin.monti""  ""comment_text"": ""عالی ، مرسی 🔥""}  ""11"": {""comment_id"": ""nasimpouran""  ""comment_text"": ""Khfan""}  ""12"": {""comment_id"": ""____kiana_abdo""  ""comment_text"": ""سپاس""}  ""13"": {""comment_id"": ""mbno.81""  ""comment_text"": ""تو همه ی گوشی ها هست""}  ""14"": {""comment_id"": ""yaser.f90""  ""comment_text"": ""چقدر عالی 👏👏👏""}  ""15"": {""comment_id"": ""faaraamaarrz""  ""comment_text"": ""فول پیج نمیاره سرکاریه؟""}  ""16"": {""comment_id"": ""fatimadadvar""  ""comment_text"": ""چرااا مال من اون قسمت فول پبجو ندارههه😢😭؟""}  ""17"": {""comment_id"": ""dokhtar.lor.o""  ""comment_text"": ""چ آموزش خفنیییی😍""}  ""18"": {""comment_id"": ""dokhtar.lor.o""  ""comment_text"": ""👏""}  ""19"": {""comment_id"": ""mahdisjaber""  ""comment_text"": ""دمت گرم❤️""}  ""20"": {""comment_id"": ""jawad.k98""  ""comment_text"": ""Tnx🙏🏾🌹""}  ""21"": {""comment_id"": ""neda.heidari.designer""  ""comment_text"": ""برای اینکار بایدگوشی اپدیت باشه؟""}}"
Have a purpose and you won’t need motivation!We are here for you in every step you take towards wellness! 🚶‍♀️🚶🪙🪙Empowering wellness Worldwide with Blockchain!JOIN OUR TELEGRAM FOR UPDATES:#webwellnessapp #wellness #healthy #wellnesshaitohappinesshai #jwtoken #getrewards #earnonlinemoney #workoutroutines #future #rewardsoffer #app #apple #android #staywell #livewell #comingsoon,"{""1"": {""comment_id"": ""jwsocialtoken""  ""comment_text"": ""Have a purpose and you won’t need motivation!\nWe are here for you in every step you take towards wellness! 🚶‍♀️🚶🪙🪙\nEmpowering wellness Worldwide with Blockchain!\nJOIN OUR TELEGRAM FOR UPDATES:\n\n#webwellnessapp #wellness #healthy #wellnesshaitohappinesshai #jwtoken #getrewards #earnonlinemoney #workoutroutines #future #rewardsoffer #app #apple #android #staywell #livewell #comingsoon""}}"
