KOR_NUM,month,KOR_NM,temperature,temp_max,temp_min
0,1,강화,-3.298977195,9.018307635,-15.65790775
1,1,거제,2.778915907,13.95973672,-7.168604069
2,1,거창,-1.338158208,12.53071613,-14.37627113
3,1,고창,-0.182088595,12.26068957,-10.74068725
4,1,고흥,1.696966254,14.05607496,-9.68880033
5,1,광주,1.131180238,13.39567339,-9.246333364
6,1,구미,-0.613187905,11.79936165,-12.05891198
7,1,군산,-0.063206218,11.45897878,-10.70618935
8,1,금산,-2.387410532,11.97237351,-16.22588596
9,1,남원,-1.452139976,12.82909725,-14.94473002
10,1,남해,2.31331204,13.55427252,-8.259517956
11,1,대구,1.057024708,12.8961131,-9.682115311
12,1,대전,-1.021508559,11.76158241,-13.29940614
13,1,동두천,-3.880237058,10.17769159,-17.26483416
14,1,동해,1.20159744,12.5737329,-9.837170985
15,1,목포,1.937343662,12.89144542,-7.323196631
16,1,문경,-1.686970039,10.39931884,-13.83297869
17,1,밀양,0.519143854,14.11514568,-11.85821349
18,1,보령,-0.278373567,11.68300533,-11.78467827
19,1,보은,-2.994431009,10.880976,-16.90092358
20,1,봉화,-4.072724414,9.986861995,-19.27627676
21,1,부산,3.740038673,14.91574484,-7.559186704
22,1,부안,-0.152617118,12.50440643,-12.52506048
23,1,부여,-1.538313667,11.60166698,-14.73427613
24,1,산청,0.438948737,13.13611418,-11.42905592
25,1,상주,-0.983268876,11.21031434,-12.45564453
26,1,서귀포,7.508128253,17.30382026,-1.161442324
27,1,서산,-1.728633762,10.63428398,-13.57581248
28,1,서울,-2.003799208,9.682461393,-13.4016899
29,1,속초,0.109390073,10.83241939,-11.44372599
30,1,수원,-2.139601189,10.3976535,-14.27766118
31,1,안동,-1.854945593,11.11988559,-15.20971415
32,1,양평,-3.577801452,9.642858567,-17.50402625
33,1,여수,2.925779923,12.88828482,-7.005025185
34,1,영덕,1.115785285,13.09780695,-10.5511738
35,1,영원,-3.677891664,10.02008468,-18.1712518
36,1,영주,-2.366772171,9.985590066,-15.86067682
37,1,영천,-0.51046256,12.5762911,-13.24687845
38,1,완도,2.933186373,13.82696661,-5.72441203
39,1,울릉,1.812996456,11.66622623,-6.759616925
40,1,울산,2.469947684,14.58466184,-8.534701175
41,1,울진,1.44919276,13.38629957,-10.06679235
42,1,원주,-3.239810141,9.859255024,-16.65115083
43,1,의성,-3.077334089,11.89894034,-17.94345834
44,1,이천,-3.152002408,9.910000536,-17.20014181
45,1,인제,-4.732987814,8.354551724,-19.29183718
46,1,인천,-1.606693501,9.748557308,-12.37466824
47,1,임실,-2.59406867,12.17647072,-17.04078987
48,1,장수,-3.145234782,11.19396064,-17.85536397
49,1,장흥,0.999811917,14.12640373,-10.54793926
50,1,전주,0.028331885,12.92878983,-11.62336667
51,1,정읍,-0.193145487,12.84167456,-11.83789813
52,1,제주,6.370047516,16.5582542,-0.888736407
53,1,제천,-4.850139803,8.889155123,-19.91132111
54,1,진도,-0.631196301,11.87398224,-9.357449435
55,1,진주,0.289422632,13.60207337,-12.20714786
56,1,창원,2.717691616,13.89322077,-8.110576602
57,1,천안,-2.416868833,10.90994787,-16.21588062
58,1,철원,-5.823867817,7.988827897,-20.86980652
59,1,청주,-1.528459677,10.83928484,-13.85464436
60,1,춘천,-4.237062649,8.40540816,-18.05900713
61,1,태백,-4.836076382,8.498757362,-17.88834242
62,1,통영,3.297234329,14.16564568,-7.158890085
63,1,포항,2.353705104,13.78138128,-8.754197588
64,1,합천,-0.143207452,13.43060409,-12.87992559
65,1,해남,1.397868284,14.13239658,-10.28843182
66,1,홍천,-4.909267697,9.006103037,-19.79852027
0,2,강화,-0.624341055,12.47194268,-13.10165527
1,2,거제,4.606961831,16.57866718,-5.85520178
2,2,거창,0.980993471,17.23144013,-12.80900226
3,2,고창,2.243475684,18.17378379,-9.046016439
